ZoneID,n_years,n_full_years,n_full_pass,qa_pass_zone,latest_full_year,latest_full_year_pass
BLR-0001,3,2,2,True,2024,True
BLR-0002,3,2,2,True,2024,True
BLR-0003,3,2,2,True,2024,True
BLR-0004,3,2,2,True,2024,True
BLR-0005,3,2,2,True,2024,True
BLR-0006,3,2,2,True,2024,True
BLR-0007,3,2,2,True,2024,True
BLR-0008,3,2,2,True,2024,True
BLR-0009,3,2,2,True,2024,True
BLR-0010,3,2,2,True,2024,True
BLR-0011,3,2,2,True,2024,True
BLR-0012,3,2,2,True,2024,True
BLR-0013,3,2,2,True,2024,True
BLR-0014,3,2,2,True,2024,True
BLR-0015,3,2,2,True,2024,True
BLR-0016,3,2,2,True,2024,True
BLR-0017,3,2,2,True,2024,True
BLR-0018,3,2,2,True,2024,True
BLR-0019,3,2,2,True,2024,True
BLR-0020,3,2,2,True,2024,True
BLR-0021,3,2,2,True,2024,True
BLR-0022,3,2,2,True,2024,True
BLR-0023,3,2,2,True,2024,True
BLR-0024,3,2,2,True,2024,True
BLR-0025,3,2,2,True,2024,True
BLR-0026,3,2,2,True,2024,True
BLR-0027,3,2,2,True,2024,True
BLR-0028,3,2,2,True,2024,True
BLR-0029,3,2,2,True,2024,True
BLR-0030,3,2,2,True,2024,True
BLR-0031,3,2,2,True,2024,True
BLR-0032,3,2,2,True,2024,True
BLR-0033,3,2,2,True,2024,True
BLR-0034,3,2,2,True,2024,True
BLR-0035,3,2,2,True,2024,True
BLR-0036,3,2,2,True,2024,True
BLR-0037,3,2,2,True,2024,True
BLR-0038,3,2,2,True,2024,True
BLR-0039,3,2,2,True,2024,True
BLR-0040,3,2,2,True,2024,True
BLR-0041,3,2,2,True,2024,True
BLR-0042,3,2,2,True,2024,True
BLR-0043,3,2,2,True,2024,True
BLR-0044,3,2,2,True,2024,True
BLR-0045,3,2,2,True,2024,True
BLR-0046,3,2,2,True,2024,True
BLR-0047,3,2,2,True,2024,True
BLR-0048,3,2,2,True,2024,True
BLR-0049,3,2,2,True,2024,True
BLR-0050,3,2,2,True,2024,True
BLR-0051,3,2,2,True,2024,True
BLR-0052,3,2,2,True,2024,True
BLR-0053,3,2,2,True,2024,True
BLR-0054,3,2,2,True,2024,True
BLR-0055,3,2,2,True,2024,True
BLR-0056,3,2,2,True,2024,True
BLR-0057,3,2,2,True,2024,True
BLR-0058,3,2,2,True,2024,True
BLR-0059,3,2,2,True,2024,True
BLR-0060,3,2,2,True,2024,True
BLR-0061,3,2,2,True,2024,True
BLR-0062,3,2,2,True,2024,True
BLR-0063,3,2,2,True,2024,True
BLR-0064,3,2,2,True,2024,True
BLR-0065,3,2,2,True,2024,True
BLR-0066,3,2,2,True,2024,True
BLR-0067,3,2,2,True,2024,True
BLR-0068,3,2,2,True,2024,True
BLR-0069,3,2,2,True,2024,True
BLR-0070,3,2,2,True,2024,True
BLR-0071,3,2,2,True,2024,True
BLR-0072,3,2,2,True,2024,True
BLR-0073,3,2,2,True,2024,True
BLR-0074,3,2,2,True,2024,True
BLR-0075,3,2,2,True,2024,True
BLR-0076,3,2,2,True,2024,True
BLR-0077,3,2,2,True,2024,True
BLR-0078,3,2,2,True,2024,True
BLR-0079,3,2,2,True,2024,True
BLR-0080,3,2,2,True,2024,True
BLR-0081,3,2,2,True,2024,True
BLR-0082,3,2,2,True,2024,True
BLR-0083,3,2,2,True,2024,True
BLR-0084,3,2,2,True,2024,True
BLR-0085,3,2,2,True,2024,True
BLR-0086,3,2,2,True,2024,True
BLR-0087,3,2,2,True,2024,True
BLR-0088,3,2,2,True,2024,True
BLR-0089,3,2,2,True,2024,True
BLR-0090,3,2,2,True,2024,True
BLR-0091,3,2,2,True,2024,True
BLR-0092,3,2,2,True,2024,True
BLR-0093,3,2,2,True,2024,True
BLR-0094,3,2,2,True,2024,True
BLR-0095,3,2,2,True,2024,True
BLR-0096,3,2,2,True,2024,True
BLR-0097,3,2,2,True,2024,True
BLR-0098,3,2,2,True,2024,True
BLR-0099,3,2,2,True,2024,True
BLR-0100,3,2,2,True,2024,True
BLR-0101,3,2,2,True,2024,True
BLR-0102,3,2,2,True,2024,True
BLR-0103,3,2,2,True,2024,True
BLR-0104,3,2,2,True,2024,True
BLR-0105,3,2,2,True,2024,True
BLR-0106,3,2,2,True,2024,True
BLR-0107,3,2,2,True,2024,True
BLR-0108,3,2,2,True,2024,True
BLR-0109,3,2,2,True,2024,True
BLR-0110,3,2,2,True,2024,True
BLR-0111,3,2,2,True,2024,True
BLR-0112,3,2,2,True,2024,True
BLR-0113,3,2,2,True,2024,True
BLR-0114,3,2,2,True,2024,True
BLR-0115,3,2,2,True,2024,True
BLR-0116,3,2,2,True,2024,True
BLR-0117,3,2,2,True,2024,True
BLR-0118,3,2,2,True,2024,True
BLR-0119,3,2,2,True,2024,True
BLR-0120,3,2,2,True,2024,True
BLR-0121,3,2,2,True,2024,True
BLR-0122,3,2,2,True,2024,True
BLR-0123,3,2,2,True,2024,True
BLR-0124,3,2,2,True,2024,True
BLR-0125,3,2,2,True,2024,True
BLR-0126,3,2,2,True,2024,True
BLR-0127,3,2,2,True,2024,True
BLR-0128,3,2,2,True,2024,True
BLR-0129,3,2,2,True,2024,True
BLR-0130,3,2,2,True,2024,True
BLR-0131,3,2,2,True,2024,True
BLR-0132,3,2,2,True,2024,True
BLR-0133,3,2,2,True,2024,True
BLR-0134,3,2,2,True,2024,True
BLR-0135,3,2,2,True,2024,True
BLR-0136,3,2,2,True,2024,True
BLR-0137,3,2,2,True,2024,True
BLR-0138,3,2,2,True,2024,True
BLR-0139,3,2,2,True,2024,True
BLR-0140,3,2,2,True,2024,True
BLR-0141,3,2,2,True,2024,True
BLR-0142,3,2,2,True,2024,True
BLR-0143,3,2,2,True,2024,True
BLR-0144,3,2,2,True,2024,True
BLR-0145,3,2,2,True,2024,True
BLR-0146,3,2,2,True,2024,True
BLR-0147,3,2,2,True,2024,True
BLR-0148,3,2,2,True,2024,True
BLR-0149,3,2,2,True,2024,True
BLR-0150,3,2,2,True,2024,True
BLR-0151,3,2,2,True,2024,True
BLR-0152,3,2,2,True,2024,True
BLR-0153,3,2,2,True,2024,True
BLR-0154,3,2,2,True,2024,True
BLR-0155,3,2,2,True,2024,True
BLR-0156,3,2,2,True,2024,True
BLR-0157,3,2,2,True,2024,True
BLR-0158,3,2,2,True,2024,True
BLR-0159,3,2,2,True,2024,True
BLR-0160,3,2,2,True,2024,True
BLR-0161,3,2,2,True,2024,True
BLR-0162,3,2,2,True,2024,True
BLR-0163,3,2,2,True,2024,True
BLR-0164,3,2,2,True,2024,True
BLR-0165,3,2,2,True,2024,True
BLR-0166,3,2,2,True,2024,True
BLR-0167,3,2,2,True,2024,True
BLR-0168,3,2,2,True,2024,True
BLR-0169,3,2,2,True,2024,True
BLR-0170,3,2,2,True,2024,True
BLR-0171,3,2,2,True,2024,True
BLR-0172,3,2,2,True,2024,True
BLR-0173,3,2,2,True,2024,True
BLR-0174,3,2,2,True,2024,True
BLR-0175,3,2,2,True,2024,True
BLR-0176,3,2,2,True,2024,True
BLR-0177,3,2,2,True,2024,True
BLR-0178,3,2,2,True,2024,True
BLR-0179,3,2,2,True,2024,True
BLR-0180,3,2,2,True,2024,True
BLR-0181,3,2,2,True,2024,True
BLR-0182,3,2,2,True,2024,True
BLR-0183,3,2,2,True,2024,True
BLR-0184,3,2,2,True,2024,True
BLR-0185,3,2,2,True,2024,True
BLR-0186,3,2,2,True,2024,True
BLR-0187,3,2,2,True,2024,True
BLR-0188,3,2,2,True,2024,True
BLR-0189,3,2,2,True,2024,True
BLR-0190,3,2,2,True,2024,True
BLR-0191,3,2,2,True,2024,True
BLR-0192,3,2,2,True,2024,True
BLR-0193,3,2,2,True,2024,True
BLR-0194,3,2,2,True,2024,True
BLR-0195,3,2,2,True,2024,True
BLR-0196,3,2,2,True,2024,True
BLR-0197,3,2,2,True,2024,True
BLR-0198,3,2,2,True,2024,True
BLR-0199,3,2,2,True,2024,True
BLR-0200,3,2,2,True,2024,True
BLR-0201,3,2,2,True,2024,True
BLR-0202,3,2,2,True,2024,True
BLR-0203,3,2,2,True,2024,True
BLR-0204,3,2,2,True,2024,True
BLR-0205,3,2,2,True,2024,True
BLR-0206,3,2,2,True,2024,True
BLR-0207,3,2,2,True,2024,True
BLR-0208,3,2,2,True,2024,True
BLR-0209,3,2,2,True,2024,True
BLR-0210,3,2,2,True,2024,True
BLR-0211,3,2,2,True,2024,True
BLR-0212,3,2,2,True,2024,True
BLR-0213,3,2,2,True,2024,True
BLR-0214,3,2,2,True,2024,True
BLR-0215,3,2,2,True,2024,True
BLR-0216,3,2,2,True,2024,True
BLR-0217,3,2,2,True,2024,True
BLR-0218,3,2,2,True,2024,True
BLR-0219,3,2,2,True,2024,True
BLR-0220,3,2,2,True,2024,True
BLR-0221,3,2,2,True,2024,True
BLR-0222,3,2,2,True,2024,True
BLR-0223,3,2,2,True,2024,True
